USports
WCC,North,South,,,,,,,,,,,
MCC,West,Independent,,,,,,,,,,,
Metro,Eastern,Western,,,,,,,,,,,
CCC,North,South,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Q 10,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,CCC,North,Ottawa,OTT,95,CAR,,,,,,,
TEAM,CCC,North,Queens,QUEE,85,LAUR,,,,,,,
TEAM,CCC,North,Lakehead, LHU,80,UMAN,,,,,,,
TEAM,CCC,North,PEI,PEI,70,UDSB,,,,,,,
TEAM,CCC,North,Ontario Tech,OTEC,70.RRU,,,,,,,
TEAM,CCC,North,Nippising,NIPI,60,HRST,,,,,,,
TEAM,CCC,North,Algoma,ALG,50,RDMR,,,,,,,
TEAM,CCC,South,Carleton,CAR,90,OTT,,,,,,,
TEAM,CCC,South,Manitoba,UMAN,90,LHU,,,,,,,
TEAM,CCC,South,Laurentian, LAUR,80,QUEE,,,,,,,
TEAM,CCC,South,Red River,RRU,75,OTEC,,,,,,,
TEAM,CCC,South,Saint-Boniface,UDSB,60,PEI,,,,,,,
TEAM,CCC,South,Hearst,HRST,60,NIPI,,,,,,,
TEAM,CCC,South,Redeemer,RDMR,55,ALG,,,,,,,
# ACC,,,,,,,
TEAM,ACC,Atlantic,Acadia,ACA,95,UMCT,,,,,,,
TEAM,ACC,Atlantic,St. Francis Xavier,STFX,85,MAU,,,,,,,
TEAM,ACC,Atlantic,Dalhousie,DAL,75,CNOR,,,,,,,
TEAM,ACC,Atlantic,Cape Breton,CAP,70,STMU,,,,,,,
TEAM,ACC,Atlantic,Newfoundland Memorial,NMEM,70,WNFL,,,,,,,
TEAM,ACC,Atlantic,Crandall,CRA,65,YRKV,,,,,,,
TEAM,ACC,Atlantic,New Brunswick,UNB,60,STHM,,,,,,,
TEAM,ACC,Coastal,Mount Allison,MAU,85,STFX,,,,,,,
TEAM,ACC,Coastal,St. Marys,STMU,85,CAP,,,,,,,
TEAM,ACC,Coastal,Moncton,UMCT,80,ACA,,,,,,,
TEAM,ACC,Coastal,Yorkville,YRKV,70,CRA,,,,,,,
TEAM,ACC,Coastal,St. Thomas,STHM,70,UNB,,,,,,,
TEAM,ACC,Coastal,North Atlantic College,CNOR,60,DAL,,,,,,,
TEAM,ACC,Coastal,Western Newfoundland,WNFL,50,NMEM,,,,,,,
# Q 10,,,,,,,
TEAM,Q 10,West,Montreal, MON,95,LAV,,,,,,,
TEAM,Q 10,West,McGill, MCG,85,BISH,,,,,,,
TEAM,Q 10,West,Concordia,CON,75,UQAQ,,,,,,,
TEAM,Q 10,West,Quebec at Montreal,UQAM,70,UQAC,,,,,,,
TEAM,Q 10,West,École Technologie Supérieure,ETS,65,USHR,,,,,,,
TEAM,Q 10,West,Quebec at Rimouski,UQAR,60,UQAO,,,,,,,
TEAM,Q 10,West,Quebec at Trois-Rivières,UQTR,55,UQAA,,,,,,,
TEAM,Q 10,East,Laval,LAV,95,MCG,,,,,,,
TEAM,Q 10,East,Sherbrooke,USHR,80,ETS,,,,,,,
TEAM,Q 10,East,Bishops,BISH,85,MCG,,,,,,,
TEAM,Q 10,East,Quebec,UQAQ,75,CON,,,,,,,
TEAM,Q 10,East,Quebec at Chicoutimi,UQAC,75,UQAM,,,,,,,
TEAM,Q 10,East,Quebec at Outaouais,UQAO,50,UQAR,,,,,,,
TEAM,Q 10,East,Quebec at Abitibi,UQAA,50,UQTR,,,,,,,

END_FILE,,,,,,,,,,,,,
